A  	,Element	,Z,N  	,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma   	,B_exp (W.u.),B_exp Unc (W.u.),
19 	,F      	,9  	,10 	,8310.0    	,12      	,5/2+              	,0.047 KEV 19             	,3932      	,	,M1        	,0.22      	,5               	,
20 	,F      	,9  	,11 	,656.02    	,3       	,3+                	,305 FS 21                	,656.00    	,3       	,[M1+E2]   	,0.252     	,17              	,
20 	,F      	,9  	,11 	,822.73    	,3       	,4+                	,55 PS 4                  	,166.78    	,5       	,[M1]      	,5.72E-2   	,48              	,
20 	,F      	,9  	,11 	,1056.848  	,4       	,1+                	,5.1 FS 11                	,1056.78   	,3       	,[M1]      	,3.59      	,78              	,
20 	,F      	,9  	,11 	,2043.98   	,3       	,2+                	,2.7 FS 5                 	,2043.89   	,6       	,[M1]      	,7.1E-2    	,14              	,
20 	,F      	,9  	,11 	,2043.98   	,3       	,2+                	,2.7 FS 5                 	,1387.90   	,3       	,[M1]      	,2.8       	,5               	,
20 	,F      	,9  	,11 	,2194.30   	,3       	,(3+)              	,2.9 FS 8                 	,1371.53   	,4       	,[M1]      	,1.52      	,45              	,
20 	,F      	,9  	,11 	,2194.30   	,3       	,(3+)              	,2.9 FS 8                 	,2194.16   	,3       	,[M1]      	,0.34      	,10              	,
20 	,F      	,9  	,11 	,2966.11   	,3       	,3+                	,3.6 FS 8                 	,2309.96   	,6       	,[M1]      	,5.9E-2    	,14              	,
20 	,F      	,9  	,11 	,2966.11   	,3       	,3+                	,3.6 FS 8                 	,2143.26   	,3       	,[M1]      	,0.357     	,76              	,
20 	,F      	,9  	,11 	,2966.11   	,3       	,3+                	,3.6 FS 8                 	,771.71    	,10      	,[M1]      	,0.31      	,10              	,
20 	,F      	,9  	,11 	,2966.11   	,3       	,3+                	,3.6 FS 8                 	,2965.90   	,9       	,[M1]      	,6.3E-2    	,14              	,
20 	,F      	,9  	,11 	,3488.41   	,3       	,1+                	,8.1 FS 5                 	,3488.13   	,4       	,[M1]      	,4.58E-2   	,32              	,
20 	,F      	,9  	,11 	,3488.41   	,3       	,1+                	,8.1 FS 5                 	,2431.43   	,99      	,[M1]      	,1.32E-2   	,55              	,
