A  ,Element,Z  ,N  ,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),M Gamma   ,B_exp (W.u.),B_exp Unc (W.u.),,
25,MG     ,12,13,2801.46,0.03,3/2+              ,26 FS 3                  ,2801.312,0.035,M1+E2     ,1.7,0.4,,
25,MG     ,12,13,4059.6,0.3,9/2+              ,47 FS 5                  ,2450.5,1,M1+E2     ,2.1,0.8,,
25,MG     ,12,13,5461.1,0.3,13/2+             ,1.44 PS 0.13             ,2055.9,0.2,E2        ,2.46,0.23,          ,                
25,MG     ,12,13,5251.63,0.22,11/2+             ,15 FS 2                  ,1846.4,0.5,M1+E2     ,3.3,1.2,,
25,MG     ,12,13,1964.624,0.023,5/2+              ,0.70 PS 0.06             ,989.865,0.03,M1+E2     ,3.5,0.7,,
25,MG     ,12,13,2563.36,0.05,1/2+              ,10 FS 5                  ,2563.6,0.4,E2        ,4,3,          ,                
25,MG     ,12,13,5251.63,0.22,11/2+             ,15 FS 2                  ,3639.5,0.3,E2        ,5.1,1.2,          ,                
25,MG     ,12,13,3405.06,0.17,9/2+              ,7.7 FS 0.7               ,3404.7,0.4,E2        ,6.8,0.9,          ,                
25,MG     ,12,13,5533.8,0.4,11/2+             ,6 FS 2                   ,3922,1.1,[E2]      ,9,4,          ,                
25,MG     ,12,13,5251.63,0.22,11/2+             ,15 FS 2                  ,2515.7,1.2,[E2]      ,10.5,1.8,          ,                
25,MG     ,12,13,974.756,0.022,3/2+              ,10.1 PS 1                ,389.71,0.035,M1+E2     ,11,5,,
25,MG     ,12,13,3405.06,0.17,9/2+              ,7.7 FS 0.7               ,1793.1,0.3,M1+E2     ,12,6,,
25,MG     ,12,13,1964.624,0.023,5/2+              ,0.70 PS 0.06             ,1379.543,0.03,E2        ,15.8,1.4,          ,                
25,MG     ,12,13,2737.8,0.3,7/2+              ,290 FS 30                ,773.1,0.7,M1+E2     ,20,15,,
25,MG     ,12,13,2737.8,0.3,7/2+              ,290 FS 30                ,1763.5,0.7,E2        ,22.9,2.5,          ,                
25,MG     ,12,13,1611.768,0.011,7/2+              ,17 FS 3                  ,1611.712,0.011,M1+E2     ,24,6,,
25,MG     ,12,13,4711.6,0.4,9/2+              ,26 FS 3                  ,2746.9,0.5,E2        ,30,5,          ,                
25,MG     ,12,13,5251.63,0.22,11/2+             ,15 FS 2                  ,1192.4,0.6,M1+E2     ,80,40,,
