Nucleus,Elevel(keV),Jpi,T1/2
21NE,7320 5,(1/2+),
21NE,7362.7 15,"(7/2,9/2+)",< 8 fs
21NE,7648 2,(7/2+),< 10 fs
21NE,7982.1 6,"(7/2,11/2)+",
21NE,7982.1 6,"(7/2,11/2)+",
21NE,8069 2,3/2+,8 keV 3
21NE,8146 2,3/2+,
21NE,8155.0 10,(9/2)+,< 21 fs
21NE,8160 2,5/2+,
21NE,8240.5 10,(11/2)+,< 10 fs
21NE,8361 10,3/2+,10 keV 3
21NE,8599 10,3/2+,38 keV 7
21NE,8774 2,5/2+,
21NE,8791 2,1/2+,
21NE,8839 2,3/2+,
21NE,8860.8 3,5/2+,2.5 keV 4
21NE,8929 2,5/2+,5 keV
21NE,8981 2,3/2+,
21NE,9099 2,5/2+,
21NE,9138 3,1/2+,
21NE,9150.6 8,1/2+,7.6 keV 11
21NE,9232 2,5/2+,
21NE,9700 15,(13/2+),
21NE,9857 1,(15/2+),
21NE,10633.7 5,3/2+,1.0 keV 6
22NE,0,0+,STABLE
22NE,1274.537 7,2+,3.60 ps 5
22NE,3357.2 5,4+,225 fs 4
22NE,4456.2 9,2+,3.7 fs 25
22NE,5329.6 13,1+,1.2 fs 3
22NE,5363.4 11,2+,69 fs 12
22NE,5523.3 6,(4)+,21 fs 3
22NE,5641.2 7,3+,< 3 fs
22NE,6119.9 16,2+,14 fs 7
22NE,6235 2,0+,236 fs 83
22NE,6311.0 10,(6+),49 fs 4
22NE,6345.1 10,4+,13 fs 3
22NE,6635.8 8,"(3,4)+",49 fs 21
22NE,6635.8 8,"(3,4)+",49 fs 21
22NE,6819.4 16,2+,< 3 fs
22NE,6853.5 16,(1+),0.38 fs 16
22NE,6900 2,0+,76 fs 8
22NE,7341.1 11,0+,< 3 fs
22NE,7341.2 11,(4)+,35 fs 21
22NE,7423.0 9,(5+),< 3 fs
22NE,7643.1 13,2+,470 as 200
22NE,7921 2,(2)+,
22NE,8076.9 14,(4)+,
22NE,8134.3 4,2+,
22NE,8162.2 13,"2+,3,4+",
22NE,8162.2 13,"2+,3,4+",
22NE,8489.6 12,2+,
22NE,8561.4 19,"(1,2)+",0.35 fs 13
22NE,8561.4 19,"(1,2)+",0.35 fs 13
22NE,8855.3 15,(4)+,
22NE,9045 3,"(2+,3-)",
22NE,9178 3,1+,84 as 3
22NE,9178.1 7,(4)+,
22NE,9229 3,2+,
22NE,9541 10,2+,
22NE,9841 10,(2+),
22NE,10066 10,(0+),
22NE,10137 10,2+,
22NE,10280.4 10,"(0+,1-,2+)",< 2 keV
22NE,10280.4 10,"(0+,1-,2+)",< 2 keV
22NE,10294.8 10,(2+),< 2 keV
22NE,10501.6 3,2+,
22NE,10544.9 4,2+,
22NE,10890 10,1+,
22NE,11032 6,"(8+,6+)",< 10 keV
22NE,11032 6,"(8+,6+)",< 10 keV
22NE,11064 10,2+,
22NE,11269 5,"2+,3+,4+",12 keV
22NE,11269 5,"2+,3+,4+",12 keV
22NE,11269 5,"2+,3+,4+",12 keV
22NE,11686 5,(2+),9 keV
22NE,11708 15,(2+),5 keV
22NE,12000 10,1+,
22NE,12020 10,0+,68 keV
22NE,12250 10,0+,76 keV
22NE,12450 20,"(0+,1-)",
22NE,12610 10,(2+),124 keV
22NE,12800 10,2+,50 keV
22NE,12990 10,0+,80 keV
22NE,13030 10,2+,90 keV
22NE,13210 10,0+,81 keV
22NE,13490 10,4+,29 keV
22NE,13540 10,0+,96 keV
22NE,13670 10,(2+),41 keV
22NE,13730 10,4+,57 keV
22NE,13820 10,(2+),51 keV
22NE,13880 10,4+,46 keV
22NE,19.45E3 10,(6+),
22NE,19.89E3 10,(10+),
23NE,0,5/2+,37.25 s 10
23NE,1016.926 20,1/2+,178 ps 10
23NE,1701.59 17,(7/2+),< 70 fs
23NE,1822.26 6,3/2+,< 70 fs
23NE,2315.1 3,5/2+,< 70 fs
23NE,3431.6 3,3/2+,< 70 fs
23NE,3458.49 8,"(1/2,3/2,5/2+)",< 70 fs
23NE,3830.9 4,"(3/2,5/2,7/2)+",< 70 fs
23NE,3830.9 4,"(3/2,5/2,7/2)+",< 70 fs
23NE,3830.9 4,"(3/2,5/2,7/2)+",< 70 fs
23NE,3987.8 5,(3/2)+,< 70 fs
23NE,4436.1 4,"(3/2,5/2,7/2)+",
23NE,4436.1 4,"(3/2,5/2,7/2)+",
23NE,4436.1 4,"(3/2,5/2,7/2)+",
23NE,5185 6,"(3/2+,5/2+)",
23NE,5185 6,"(3/2+,5/2+)",
23NE,5200.71 6,1/2+,
23NE,5478.7 3,1/2+,
23NE,5672 5,1/2+,
23NE,5740.2 6,3/2+,
23NE,5968 5,1/2+,
24NE,0,0+,3.38 m 2
24NE,1981.6 4,2+,660 fs 150
24NE,3868 4,2+,< 70 fs
24NE,3972 20,4+,< 20 ns
24NE,4766.5 11,0+,1.6 ps 9
24NE,5575 20,2+,< 20 ns
25NE,0,1/2+,602 ms 8
25NE,1702.8 7,"(5/2,3/2)+",
25NE,1702.8 7,"(5/2,3/2)+",
25NE,2090 5,"(3/2,5/2)+",
25NE,2090 5,"(3/2,5/2)+",
25NE,3324 5,"(3/2,5/2,7/2)+",
25NE,3324 5,"(3/2,5/2,7/2)+",
25NE,3324 5,"(3/2,5/2,7/2)+",
25NE,3891.2 12,"(3/2,5/2,7/2)+",
25NE,3891.2 12,"(3/2,5/2,7/2)+",
25NE,3891.2 12,"(3/2,5/2,7/2)+",
26NE,0,0+,197 ms 2
26NE,2018.0 3,2+,0.60 ps 8
26NE,3517.1 5,"(3+,4+)",
26NE,3517.1 5,"(3+,4+)",
26NE,3690.8 4,(2+),
26NE,3815.2 5,(0+),
26NE,5360.6 10,"(3+,4+)",
26NE,5360.6 10,"(3+,4+)",
27NE,0,(3/2+),31.5 ms 13
27NE,885 2,(1/2+),< 10 ps
28NE,0,0+,20 ms 1
28NE,1304 3,2+,5.7 ps 10
28NE,3010 6,(4+),
28NE,3904 7,(4+),
29NE,0,(3/2+),15 ms 3
29NE,232 6,"(1/2+,3/2-)",
29NE,622 4,"(1/2+,7/2+)",
29NE,622 4,"(1/2+,7/2+)",
29NE,931 8,"(5/2-,7/2+)",
30NE,0,0+,7.3 ms 3
30NE,792 4,(2+),20 ps +37-9
30NE,2235 12,(4+),
32NE,0,0+,3.5 ms 9
32NE,722 9,(2+),
34NE,0,0+,> 60 ns
17NA,0,(1/2+),
19NA,0,(5/2+),< 40 keV
19NA,120 10,(3/2+),
19NA,745 12,1/2+,101 keV 3
19NA,2459 32,"(5/2,3/2)+",105 keV 10
19NA,2459 32,"(5/2,3/2)+",105 keV 10
19NA,2769 61,"(3/2,5/2+)",250 keV 50
20NA,0,2+,447.9 ms 23
20NA,596 8,3+,
20NA,802 7,4+,
20NA,984.25 10,1+,
20NA,2057 12,3+,
20NA,2645 6,(1+),
20NA,2849 6,3+,
20NA,3001 2,1+,19.8 keV 2
20NA,3067 2,(0+),
20NA,3086 2,0+,35.9 keV 2
20NA,3871 9,1+,
20NA,4123 16,1+,
20NA,?4800,1+,
20NA,?5600,1+,
20NA,6266 30,1+,
20NA,6534 13,0+,
21NA,0,3/2+,22.49 s 4
21NA,331.90 10,5/2+,7.08 ps 8
21NA,1716.1 3,7/2+,37 fs 8
21NA,2423.8 4,1/2+,1.7 fs 4
21NA,2829.1 7,9/2+,
21NA,3544.3 4,5/2+,15.5 eV 14
21NA,4294.3 6,5/2+,3.93 keV 10
21NA,4419 2,(11/2+),
21NA,4467.9 7,3/2+,21 keV 3
21NA,5020 9,"(3/2,5/2,7/2)+",
21NA,5020 9,"(3/2,5/2,7/2)+",
21NA,5020 9,"(3/2,5/2,7/2)+",
21NA,5380 9,"(3/2,5/2,7/2)+",
21NA,5380 9,"(3/2,5/2,7/2)+",
21NA,5380 9,"(3/2,5/2,7/2)+",
21NA,5457 1,1/2+,110 keV
21NA,5770 20,"(3/2,5/2,7/2)+",? 20 keV
21NA,5770 20,"(3/2,5/2,7/2)+",? 20 keV
21NA,5770 20,"(3/2,5/2,7/2)+",? 20 keV
21NA,5884 20,"(3/2,5/2,7/2)+",
21NA,5884 20,"(3/2,5/2,7/2)+",
21NA,5884 20,"(3/2,5/2,7/2)+",
21NA,5979 15,"(3/2,5/2,7/2)+",
21NA,5979 15,"(3/2,5/2,7/2)+",
21NA,5979 15,"(3/2,5/2,7/2)+",
21NA,6165 30,"(3/2,5/2,7/2)+",
21NA,6165 30,"(3/2,5/2,7/2)+",
21NA,6165 30,"(3/2,5/2,7/2)+",
21NA,6341 20,"(3/2,5/2,7/2)+",
21NA,6341 20,"(3/2,5/2,7/2)+",
21NA,6341 20,"(3/2,5/2,7/2)+",
21NA,6468 20,3/2+,145 keV 15
21NA,7253 15,1/2+,220 keV 20
21NA,7609 15,3/2+,112 keV 20
21NA,8135 15,5/2+,32 keV 9
21NA,8303 13,"(3/2,5/2,7/2)+",
21NA,8303 13,"(3/2,5/2,7/2)+",
21NA,8303 13,"(3/2,5/2,7/2)+",
21NA,8388 15,1/2+,21 keV 8
21NA,8397 15,3/2+,30 keV 13
21NA,8464 15,3/2+,25 keV 9
21NA,8554 15,1/2+,100 keV 8
21NA,8562 15,3/2+,< 20 keV
21NA,8595 15,5/2+,138 keV 15
21NA,8715 15,3/2+,360 keV 25
21NA,8742 15,1/2+,98 keV 25
21NA,8827 15,5/2+,138 keV 16
21NA,8960 15,1/2+,25 keV 6
21NA,8976 2,5/2+,650 eV 50
21NA,8981 15,5/2+,23 keV 16
21NA,9155 15,3/2+,34 keV 13
21NA,9217 2,1/2+,2.8 keV 35
21NA,9348 15,1/2+,23 keV 9
21NA,9725 25,3/2+,256 keV 20
22NA,0,3+,2.6018 y 22
22NA,583.05 10,1+,243 ns 2
22NA,657.00 14,0+,19.6 ps 7
22NA,890.89 20,4+,10.0 ps 3
22NA,1528.1 3,5+,3.42 ps 24
22NA,1936.9 2,1+,13 fs 4
22NA,1951.8 3,2+,8 fs 2
22NA,1983.5 5,3+,1.47 ps 15
22NA,2968.6 6,3+,32 fs 4
22NA,3059.4 6,2+,23 fs 3
22NA,3706.7 4,6+,59 fs 12
22NA,3941.9 9,1+,< 0.7 fs
22NA,4071.4 6,4+,< 0.7 fs
22NA,4319.0 5,1+,17 fs 10
22NA,4360.0 4,2+,5.0 fs 14
22NA,4523.9 5,(5+),71 fs 33
22NA,4710.0 4,(5+),37 fs 14
22NA,4770 2,3+,5.9 ps 14
22NA,5062.5 4,(2+),< 14 fs
22NA,5100.4 13,4+,38 fs 12
22NA,5174 2,"1+,2+",< 1 fs
22NA,5174 2,"1+,2+",< 1 fs
22NA,5318 5,(3+),< 0.7 fs
22NA,5603 2,"(1,2)+",< 3 fs
22NA,5603 2,"(1,2)+",< 3 fs
22NA,5739 2,1+,
22NA,5863 6,"(1,2)+",
22NA,5863 6,"(1,2)+",
22NA,5995 2,"(1,2)+",
22NA,5995 2,"(1,2)+",
22NA,6090 5,"(1,2)+",
22NA,6090 5,"(1,2)+",
22NA,6189 5,(0 TO 4)+,
22NA,6189 5,(0 TO 4)+,
22NA,6189 5,(0 TO 4)+,
22NA,6189 5,(0 TO 4)+,
22NA,6189 5,(0 TO 4)+,
22NA,6551 5,"(1,2)+",
22NA,6551 5,"(1,2)+",
22NA,6834 7,"(0+,1+)",
22NA,6834 7,"(0+,1+)",
22NA,6859.3 6,"1,2+",< 12 eV
22NA,7152 4,"3+,4+",< 0.5 keV
22NA,7152 4,"3+,4+",< 0.5 keV
22NA,7220 2,"1+,2,3+",< 0.4 keV
22NA,7220 2,"1+,2,3+",< 0.4 keV
22NA,7240 2,"2+,3,4+",< 0.3 keV
22NA,7240 2,"2+,3,4+",< 0.3 keV
22NA,7278 3,"1,2+",< 0.5 keV
22NA,7360 3,"3+,4",< 1.0 keV
22NA,7378 1,"2+,3+",< 0.5 keV
22NA,7378 1,"2+,3+",< 0.5 keV
22NA,7401 2,"1+,2+",< 1.5 keV
22NA,7401 2,"1+,2+",< 1.5 keV
22NA,7408.6 5,1+,3.5 keV 6
22NA,7471.7 12,(2+),3.5 keV 6
22NA,7515.2 10,(3+),< 0.5 keV
22NA,7573.5 10,"3+,4,5+",< 0.5 keV
22NA,7573.5 10,"3+,4,5+",< 0.5 keV
22NA,7605 2,"1+,2+",< 0.6 keV
22NA,7605 2,"1+,2+",< 0.6 keV
22NA,7636 3,"2+,3,4+",< 0.5 keV
22NA,7636 3,"2+,3,4+",< 0.5 keV
22NA,7683 3,"2+,3,4+",< 0.5 keV
22NA,7683 3,"2+,3,4+",< 0.5 keV
22NA,7800.6 10,"(1,2)+",2.4 keV 7
22NA,7800.6 10,"(1,2)+",2.4 keV 7
22NA,7821.1 10,"1+,2+",< 0.5 keV
22NA,7821.1 10,"1+,2+",< 0.5 keV
22NA,7889.1 11,4+,< 0.5 keV
22NA,7965 2,"0,1,2,3+",< 0.5 keV
22NA,8018 4,"4+,5+",< 1.0 keV
22NA,8018 4,"4+,5+",< 1.0 keV
22NA,8041 2,"2+,3,4+",< 0.5 keV
22NA,8041 2,"2+,3,4+",< 0.5 keV
22NA,8101 4,"1+,2+",3.8 keV 7
22NA,8101 4,"1+,2+",3.8 keV 7
22NA,8108 2,"3+,4",< 1.5 keV
22NA,8197 4,"2+,3+",< 0.6 keV
22NA,8197 4,"2+,3+",< 0.6 keV
22NA,8211 2,"1+,2+",10 keV 4
22NA,8211 2,"1+,2+",10 keV 4
22NA,8221 4,"4+,5,6+",< 21 fs
22NA,8221 4,"4+,5,6+",< 21 fs
22NA,8234 2,"1+,2+",13 keV 3
22NA,8234 2,"1+,2+",13 keV 3
22NA,8496 2,"1+,2+",44 keV 4
22NA,8496 2,"1+,2+",44 keV 4
22NA,8567 2,(0 TO 4)+,
22NA,8567 2,(0 TO 4)+,
22NA,8567 2,(0 TO 4)+,
22NA,8567 2,(0 TO 4)+,
22NA,8567 2,(0 TO 4)+,
23NA,0,3/2+,STABLE
23NA,440.2 4,5/2+,1.14 ps 7
23NA,2076.2 4,7/2+,27 fs 3
23NA,2390.9 3,1/2+,0.60 ps 14
23NA,2703.8 5,9/2+,88 fs 7
23NA,2982.0 5,3/2+,3.3 fs 4
23NA,3914.6 4,5/2+,6.9 fs 14
23NA,4429.63 16,1/2+,0.21 fs 2
23NA,4775.2 5,7/2+,< 1.4 fs
23NA,5378.56 15,5/2+,143 as 21
23NA,5534.2 6,11/2+,10.4 fs 6
23NA,5741.0 15,5/2+,394 as 27
23NA,5766.03 16,3/2+,351 as 41
23NA,5925.8 5,7/2+,13 fs 5
23NA,6115.1 6,(11/2)+,35 fs 9
23NA,6235.4 6,(13/2+),16 fs 8
23NA,6305.6 6,1/2+,
23NA,6578.0 6,"(9/2+,5/2+)",< 11 fs
23NA,6578.0 6,"(9/2+,5/2+)",< 11 fs
23NA,6618.3 8,"(7/2,5/2)+",< 0.7 fs
23NA,6618.3 8,"(7/2,5/2)+",< 0.7 fs
23NA,6735.5 2,3/2+,415 as 50
23NA,6867.7 2,"5/2+,3/2+",< 6 fs
23NA,6867.7 2,"5/2+,3/2+",< 6 fs
23NA,6947.4 2,(3/2+),< 28 fs
23NA,7133.5 9,"3/2+,5/2+",200 as 26
23NA,7133.5 9,"3/2+,5/2+",200 as 26
23NA,7185.3 6,(9/2+),
23NA,7268.1 6,13/2+,18 fs 6
23NA,7393.4 7,(11/2+),18 fs 11
23NA,7412.4 3,"5/2+,7/2+,9/2+",< 35 fs
23NA,7412.4 3,"5/2+,7/2+,9/2+",< 35 fs
23NA,7412.4 3,"5/2+,7/2+,9/2+",< 35 fs
23NA,7451.5 9,"5/2+,3/2+",< 3 fs
23NA,7451.5 9,"5/2+,3/2+",< 3 fs
23NA,7563.9 11,(5/2)+,0.26 fs 18
23NA,7835.7 7,"7/2,(5/2+)",< 3.5 fs
23NA,7872.6 8,"3/2,(5/2+)",< 3.5 fs
23NA,7891.2 3,5/2+,162 as 12
23NA,8061 3,"5/2+,7/2,9/2+",
23NA,8061 3,"5/2+,7/2,9/2+",
23NA,8417.4 2,3/2+,< 21 fs
23NA,8475.7 5,"3/2+,5/2+",
23NA,8475.7 5,"3/2+,5/2+",
23NA,8651.2 11,1/2+,0.53 fs 7
23NA,8665.0 18,1/2+,128 as 22
23NA,8827.9 11,1/2+,211 as 70
23NA,8862,1/2+,
23NA,8894,1/2+,
23NA,8945.1 8,(3/2+),
23NA,8975.3 7,"3/2+,5/2+",
23NA,8975.3 7,"3/2+,5/2+",
23NA,9042.6 8,"(7/2,9/2)+",10 fs 5
23NA,9042.6 8,"(7/2,9/2)+",10 fs 5
23NA,9101.5 7,(13/2+),
23NA,9210.4 6,(11/2+),
23NA,9252.10 10,1/2+,
23NA,9285.4 11,"3/2+,5/2+",
23NA,9285.4 11,"3/2+,5/2+",
23NA,9325.8 11,"(9/2+,13/2+)",
23NA,9325.8 11,"(9/2+,13/2+)",
23NA,9541.5 12,(13/2+),
23NA,9608.2 2,3/2+,6 eV
23NA,9626 3,1/2+,2.2 fs 8
23NA,9652.2 10,"(3/2+,5/2+)",
23NA,9652.2 10,"(3/2+,5/2+)",
23NA,9655.6 10,(1/2+),105 eV
23NA,9674.1 10,"3/2+,5/2+",
23NA,9674.1 10,"3/2+,5/2+",
23NA,9682.7 4,(3/2+),
23NA,9700.9 10,3/2+,29 eV
23NA,9755.5,3/2+,
23NA,9802.9 8,(15/2+),4.2 fs 14
23NA,9815.7 4,5/2+,
23NA,9835.4 10,3/2+,47 eV
23NA,9850.1 5,1/2+,150 eV
23NA,9917.5 11,"(3/2+,5/2,7/2+)",
23NA,9917.5 11,"(3/2+,5/2,7/2+)",
23NA,10017.4 10,5/2+,69 eV
23NA,10085.3 5,1/2+,1270 eV
23NA,10114.8 5,1/2+,4200 eV
23NA,10169.6 2,5/2+,65 eV
23NA,10231.7 4,5/2+,4 eV
23NA,10243.7 14,1/2+,2450 eV
23NA,10281.5 6,3/2+,
23NA,10346.1 7,5/2+,
23NA,10353.8 7,3/2+,210 eV
23NA,10438.5 11,5/2+,25 eV
23NA,10478.8 7,3/2+,470 eV
23NA,10507.8 7,1/2+,560 eV
23NA,10519.1 7,5/2+,100 eV
23NA,10549.2 9,5/2+,540 eV
23NA,10616.9 8,"5/2+,3/2+",425 eV
23NA,10616.9 8,"5/2+,3/2+",425 eV
23NA,10770 3,"3/2+,5/2+",< 5 eV
23NA,10770 3,"3/2+,5/2+",< 5 eV
23NA,10824 4,(3/2+),1700 eV
23NA,10838 3,"3/2+,5/2+",100 eV
23NA,10838 3,"3/2+,5/2+",100 eV
23NA,10906.8 40,(5/2+),900 eV
23NA,10918 3,(1/2+),55 eV
23NA,10933 3,(3/2+),3500 eV
23NA,10949 4,(1/2+),5200 eV
23NA,10967 4,"(5/2+,3/2+)",400 eV
23NA,10967 4,"(5/2+,3/2+)",400 eV
23NA,10973 3,(3/2+),18 eV
23NA,10992 4,(1/2+),20600 eV
23NA,10993 4,(3/2+),60 eV
23NA,11041 3,(1/2+),500 eV
23NA,11073.7 10,(17/2+),34.7 fs 69
23NA,11108 4,(5/2+),135 eV
23NA,11112 3,(3/2)+,4100 eV
23NA,11198 4,(3/2+),800 eV
23NA,11250 4,(3/2+),20000 eV
23NA,11273 4,(3/2+),1750 eV
23NA,11276 4,(3/2+),500 eV
23NA,11279 4,(3/2+),4000 eV
23NA,11288 3,(1/2+),11000 eV
23NA,11302 4,(3/2+),300 eV
23NA,11333 4,(5/2+),4000 eV
23NA,11335 4,(3/2+),750 eV
23NA,11354 4,(1/2+),13500 eV
23NA,11519 4,(5/2+),3050 eV
23NA,11528 3,(5/2+),6900 eV
23NA,11538 4,(5/2+),130 eV
23NA,11538.8 9,(15/2+),
23NA,11556 3,1/2+,3100 eV
23NA,11580 3,(5/2+),600 eV
23NA,11651.6 9,(13/2+),
23NA,11691 4,(1/2+),1900 eV
23NA,11708 4,(5/2+),3200 eV
23NA,11.72E3 2,(13/2+),
23NA,11865 4,(3/2)+,16 keV
23NA,12184 5,(3/2)+,12 keV
23NA,12419.8 2,"(7/2+,5/2+)",116 eV 20
23NA,12419.8 2,"(7/2+,5/2+)",116 eV 20
23NA,12488 5,(13/2+),5 keV 2
23NA,13110 10,(1/2+),
23NA,14240 60,(3/2+),
23NA,14.65E3 5,(3/2+),
23NA,19590.6 21,(5/2+),1.9 keV 8
24NA,0,4+,14.997 h 12
24NA,472.2074 8,1+,20.18 ms 10
24NA,563.1988 15,2+,36 ps 6
24NA,1341.458 7,2+,66 fs 21
24NA,1344.633 7,(3)+,27 fs 7
24NA,1346.621 5,1+,6.4 ps 5
24NA,1512.4 2,5+,28 fs 6
24NA,1846.012 5,2+,180 fs 35
24NA,1885.493 5,3+,26 fs 5
24NA,2513.358 20,3+,10 fs 5
24NA,2562.37 17,4+,< 17 fs
24NA,2904.008 22,3+,35 fs 8
24NA,2977.783 13,"(2+,3+)",< 17 fs
24NA,2977.783 13,"(2+,3+)",< 17 fs
24NA,3216.7 2,"(4+,2+)",15 fs 6
24NA,3216.7 2,"(4+,2+)",15 fs 6
24NA,3413.199 16,1+,< 14 fs
24NA,3589.326 25,1+,< 6 fs
24NA,3628.36 5,3+,< 14 fs
24NA,3655.91 3,"(2+,1+)",< 14 fs
24NA,3655.91 3,"(2+,1+)",< 14 fs
24NA,3681.83 3,0+,< 14 fs
24NA,3977.326 17,"(1-,2+)",< 21 fs
24NA,4186.8 6,2+,< 14 fs
24NA,4196.41 5,"1+,2,3+",< 10 fs
24NA,4196.41 5,"1+,2,3+",< 10 fs
24NA,4207.099 12,2+,23 fs 6
24NA,4621.58 7,"1+,2,3+",< 10 fs
24NA,4621.58 7,"1+,2,3+",< 10 fs
24NA,5031.05 4,"2+,3,4+",< 20 fs
24NA,5031.05 4,"2+,3,4+",< 20 fs
24NA,5809.479 16,"1+,2",
24NA,5918.222 19,"1-,2,3+",
24NA,5967.37 13,0+,< 7 fs
24NA,6072.721 13,1+,
24NA,6247.513 12,2+,< 10 fs
24NA,6962.21 8,1+,411 eV 13
24NA,7245.6 3,2+,2.0 keV 8
24NA,7386.3 6,2+,9 keV 3
24NA,7473.9 8,1+,35 keV 4
24NA,10790,(7+),
25NA,0,5/2+,59.1 s 6
25NA,89.53 10,3/2+,5.1 ns 3
25NA,1069.32 19,1/2+,1.32 ps 14
25NA,2202.0 10,3/2+,25 fs 4
25NA,2788 3,"(1/2+,3/2,5/2-)",173 fs 34
25NA,2914 4,5/2+,10 fs 4
25NA,3687 2,(3/2)+,18 fs 8
25NA,3928 7,(1/2+),< 28 fs
25NA,3950 5,"(1/2+,3/2,5/2+)",< 83 fs
25NA,3950 5,"(1/2+,3/2,5/2+)",< 83 fs
25NA,4289 3,1/2+,
26NA,0,3+,1.07128 s 25
26NA,82.2 6,1+,9 �s 2
26NA,232.7 6,2+,0.9 ns +6-5
26NA,406.7 5,2+,0.18 ns +17-13
26NA,1509.0 11,(1+),
26NA,1808.0 6,(3+),
26NA,1996.5 7,(4+),
26NA,2118.2 8,(5+),
26NA,2192.9 8,(2+),
26NA,2225.5 9,(4+),
26NA,2284.1 10,(5+),
26NA,2422.5 8,(2+),
26NA,2720 3,(1+),
26NA,2937.8 8,"(1+,2+)",
26NA,2937.8 8,"(1+,2+)",
26NA,3222.8 10,(2+),
26NA,4970 40,(4+),
26NA,5080 60,(2+),
27NA,0,5/2+,301 ms 6
27NA,62.9 6,(3/2+),
27NA,1728.0 8,(1/2+),
27NA,1815.7 9,[1/2+],
27NA,2191.8 10,(7/2+),
27NA,2224.2 9,(9/2+),
27NA,2729.1 10,[5/2+],
27NA,3019.1 8,[3/2+],
27NA,3657.2 13,[9/2+],
27NA,3837.8 14,[5/2+],
27NA,4235.4 9,[7/2+],
27NA,4716.7 9,[3/2+],
27NA,5190.4 13,[13/2+],
27NA,5408.9 10,[11/2+],
27NA,5704.6 8,[11/2+],
27NA,5948.0 12,[9/2+],
27NA,6158.7 8,[9/2+],
27NA,6518.4 15,[5/2+],
27NA,6742.1 12,"[7/2+,9/2,11/2+]",
27NA,6742.1 12,"[7/2+,9/2,11/2+]",
27NA,9186.7 17,[17/2+],
28NA,0,1+,30.5 ms 4
28NA,1254.2 6,(2+),2 ps 1
28NA,1932.2 7,(1+),
28NA,2118.4 5,(1+),
28NA,2714.3 6,(1+),
28NA,3286.4 12,(1+),
28NA,3512.5 12,(1+),
29NA,0,3/2+,44.1 ms 9
29NA,72,(5/2+),
30NA,0,2+,48 ms 2
30NA,150.62 20,1+,
30NA,424 3,(3+),
30NA,516.1 5,(2+),
30NA,926.0 6,(1+),
30NA,2113.6 6,(1+),
31NA,0,3/2(+),17.35 ms 40
31NA,375 4,(5/2+),
31NA,1162 9,(7/2+),
33NA,0,(3/2+),8.0 ms 4
33NA,429 5,(5/2+),
33NA,1117 8,(7/2+),
35NA,0,(3/2+),1.8 ms 5
35NA,0,(3/2+),1.8 ms 5
35NA,373 5,(5/2+),
35NA,373 5,(5/2+),
35NA,1014 17,(7/2+),
35NA,1014 17,(7/2+),
20MG,0,0+,90.4 ms 7
20MG,1598 10,2+,
20MG,3.70E3 20,"(2+,4+)",0.47 MeV 6
20MG,3.70E3 20,"(2+,4+)",0.47 MeV 6
21MG,0,5/2+,122 ms 3
21MG,201 4,1/2+,
21MG,1651 4,3/2+,
21MG,3086 15,"(3/2+,5/2+)",
21MG,3086 15,"(3/2+,5/2+)",
21MG,3244 15,"(3/2+,5/2+)",
21MG,3244 15,"(3/2+,5/2+)",
21MG,3347 15,(7/2+),
21MG,3643 15,"(7/2+,9/2+)",
21MG,3643 15,"(7/2+,9/2+)",
21MG,4008 15,(1/2+),
21MG,4228 15,(5/2+),
21MG,4538 15,(3/2+),
22MG,0,0+,3.8755 s 12
22MG,1247.02 3,2+,2.0 ps 8
22MG,3308.22 6,4+,200 fs 45
22MG,4402.0 3,2+,< 21 fs
22MG,5035.4 5,2+,< 0.07 ns
22MG,5089.3 8,(1+),
22MG,5293.11 16,(4+),44 fs 15
22MG,5452.4 4,(3+),< 0.07 ns
22MG,5711.4 7,2+,28 fs 10
22MG,5838 5,"2+,3,4+",< 17 ns
22MG,5838 5,"2+,3,4+",< 17 ns
22MG,5953.8 8,0+,
22MG,6043 3,(0+),
22MG,6226.1 10,(4+),
22MG,6254.23 21,6+,
22MG,6313 5,4+,< 17 ns
22MG,6325.6 10,(1+),13.6 keV 14
22MG,6608 2,(2+),17.9 keV 16
22MG,6865 8,(3+),
22MG,7027 9,[3+],
22MG,7048 5,[4+],
22MG,7132 8,(5+),
22MG,7218.3 10,0+,
22MG,7338 13,(2+),
22MG,7599.5 29,(2+),
22MG,7928 3,[2+],
22MG,8180.3 17,[2+],
22MG,8398 8,[2+],
22MG,8727,(2+),
22MG,8743 14,[4+],
22MG,8933.1 29,[2+],
22MG,9157 4,(4+),
22MG,9712 21,[0+],
22MG,9751.6 27,"(2+,1+)",
22MG,9751.6 27,"(2+,1+)",
22MG,9859 5,[0+],
22MG,10084 13,[2+],
22MG,10168 9,[3+],
22MG,10271.7 17,[2+],
22MG,10418 8,[4+],
22MG,10768 13,[2+],
22MG,10876 14,[4+],
22MG,11001 11,[0+],
22MG,11314 16,[4+],
22MG,11499 17,[2+],
22MG,11748 17,[0+],
22MG,12474 26,[2+],
23MG,0,3/2+,11.3046 s 45
23MG,450.70 15,5/2+,1.15 ps 8
23MG,2051.6 4,7/2+,65 fs 12
23MG,2357.0 7,1/2+,575 fs 118
23MG,2714.5 5,9/2+,65 fs 8
23MG,2905.2 7,(3/2)+,10.4 fs 21
23MG,3860.6 7,"3/2+,5/2+",8.3 fs 21
23MG,3860.6 7,"3/2+,5/2+",8.3 fs 21
23MG,4356.4 20,1/2+,< 7.6 fs
